AccountNo,BetDate,ClassId,CategoryId,Source,BetCount,Bet_Amt,Win_Amt,Product,Vegas,Sportsbook,Games,Casino,Poker,Bingo,#N/A,Adjustments
01196ZZ   ,2012-11-24,22512_XFER,22512,I,189,29364.0,28947.0,Vegas,"89,861","42,758",,"1,262",,,,
00357DG   ,2012-11-27,22512_XFER,22512,I,1415,19835.0,18639.15,Vegas,"191,805",100,"16,900",20,,50,,295
00357DG   ,2012-11-24,22512_XFER,22512,I,2026,19280.8,17904.5,Vegas,,"152,613",,,,,,
01196ZZ   ,2012-12-19,22512_XFER,22512,I,151,17301.0,16956.0,Vegas,"7,030","290,958",,,,,500,
01284UW   ,2012-10-21,46,5,I,25,16850.0,3319.11,Sportsbook,,,"25,785",,,,,
00357DG   ,2012-11-26,22512_XFER,22512,I,1859,16078.5,12299.52,Vegas,,,,"43,494","46,893",,,
00357DG   ,2012-11-17,22512_XFER,22512,I,1469,15204.0,14758.8,Vegas,,200,,,"17,465","2,143",,
00357DG   ,2012-11-30,22512_XFER,22512,I,920,15000.0,10169.8,Vegas,,"36,855",,,,,826,
01284UW   ,2012-10-14,46,5,I,25,13700.0,10781.59,Sportsbook,118,46,141,20,,993,,
01284UW   ,2012-10-16,36,5,I,16,13655.0,20945.93,Sportsbook,,,,,,,,
01284UW   ,2012-11-03,46,5,I,87,13405.14,3500.0,Sportsbook,,,,,,,,
01284UW   ,2012-10-10,274,5,I,17,12370.0,0.0,Sportsbook,,,,,,,,
00357DG   ,2012-11-15,22512_XFER,22512,I,1152,12133.0,11300.9,Vegas,,,,,,,,
00357DG   ,2012-11-28,22512_XFER,22512,I,507,11614.0,8729.6,Vegas,,,,,,,,
00357DG   ,2012-12-05,22512_XFER,22512,I,557,11176.0,9751.6,Vegas,,,,,,,,
01196ZZ   ,2012-12-15,22512_XFER,22512,I,167,10896.0,10410.0,Vegas,,,,,,,,
01284UW   ,2012-11-01,46,5,I,34,10674.28,12210.0,Sportsbook,,,,,,,,
01196ZZ   ,2012-11-28,22512_XFER,22512,I,106,10011.0,8736.0,Vegas,,,,,,,,
01148BP   ,2012-09-17,2,9,I,30,9800.0,8200.0,Sportsbook,,,,,,,,
01148BP   ,2012-11-17,2,9,I,28,9252.5,15353.75,Sportsbook,,,,,,,,
00357DG   ,2012-11-14,22512_XFER,22512,I,1201,9154.2,7138.3,Vegas,,,,,,,,
01148BP   ,2012-10-09,2,9,I,33,9108.33,14245.83,Sportsbook,,,,,,,,
01196ZZ   ,2012-12-08,22512_XFER,22512,I,90,8815.5,8595.0,Vegas,,,,,,,,
00357DG   ,2012-11-23,22512_XFER,22512,I,998,8534.0,7082.0,Vegas,,,,,,,,
00357DG   ,2012-11-12,613,0,I,988,8472.6,8829.2,Games,,,,,,,,
01148BP   ,2012-12-10,2,9,I,22,7687.5,6587.5,Sportsbook,,,,,,,,
01148BP   ,2012-10-18,2,9,I,17,7625.0,4925.0,Sportsbook,,,,,,,,
01148BP   ,2012-11-07,2,9,I,18,7493.75,1593.75,Sportsbook,,,,,,,,
00497XG   ,2012-12-27,601,0,I,1190,7450.2,6870.91,Games,,,,,,,,
01148BP   ,2012-10-21,2,9,I,17,7450.0,2150.0,Sportsbook,,,,,,,,
01284UW   ,2012-10-11,36,5,I,8,7150.0,0.0,Sportsbook,,,,,,,,
